test,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
Camera Matrix,1025.3935,0.0000,369.6718,0.0000,1025.3935,211.9551,0.0000,0.0000,1.0000
Distortion Coefficient,0.4942,-22.8837,0.0184,0.0403,198.0841
Camera Matrix,793.7028,0.0000,327.0271,0.0000,793.7028,306.4546,0.0000,0.0000,1.0000
Distortion Coefficient,-0.9219,9.4975,-0.0034,0.0196,-25.1656
Camera Matrix,779.8678,0.0000,326.2532,0.0000,779.8678,245.4454,0.0000,0.0000,1.0000
Distortion Coefficient,-1.0315,10.9799,-0.0101,0.0176,-35.3312
Camera Matrix,1030.8863,0.0000,319.5432,0.0000,1030.8863,202.4986,0.0000,0.0000,1.0000
Distortion Coefficient,2.3986,-158.8240,0.0008,0.0169,2777.7410
Camera Matrix,731.0969,0.0000,326.2482,0.0000,731.0969,205.5613,0.0000,0.0000,1.0000
Distortion Coefficient,0.4837,-11.2817,-0.0169,-0.0004,70.7753
Camera Matrix,703.9039,0.0000,318.8015,0.0000,703.9039,223.9601,0.0000,0.0000,1.0000
Distortion Coefficient,-0.2143,4.3676,-0.0077,-0.0016,-50.2790
Camera Matrix,438.4819,0.0000,332.6406,0.0000,438.4819,232.8008,0.0000,0.0000,1.0000
Distortion Coefficient,-0.1276,0.5815,0.0019,-0.0014,-1.2151
Camera Matrix,544.5004,0.0000,333.7579,0.0000,544.5004,256.2973,0.0000,0.0000,1.0000
Distortion Coefficient,-0.1178,1.1072,-0.0019,-0.0005,0.0035
Camera Matrix,971.6444,0.0000,366.4330,0.0000,971.6444,260.2032,0.0000,0.0000,1.0000
Distortion Coefficient,-1.3664,11.2221,-0.0029,0.0305,41.2323
Camera Matrix,821.1500,0.0000,307.2292,0.0000,821.1500,260.1484,0.0000,0.0000,1.0000
Distortion Coefficient,0.0755,-1.9769,0.0063,0.0105,-5.9638
Camera Matrix,1086.7954,0.0000,315.0016,0.0000,1086.7954,218.1294,0.0000,0.0000,1.0000
Distortion Coefficient,1.2041,-82.5704,-0.0073,0.0133,1228.0793
Camera Matrix,615.2283,0.0000,346.9200,0.0000,615.2283,250.4371,0.0000,0.0000,1.0000
Distortion Coefficient,-0.1330,3.0138,-0.0043,0.0010,-31.3218
Camera Matrix,1135.2885,0.0000,357.3364,0.0000,1135.2885,191.0885,0.0000,0.0000,1.0000
Distortion Coefficient,1.7754,-63.1554,-0.0360,0.0551,659.8491
Camera Matrix,251.9210,0.0000,369.2048,0.0000,251.9210,282.4952,0.0000,0.0000,1.0000
Distortion Coefficient,0.0257,-0.0227,-0.0136,0.0029,0.0087
Camera Matrix,813.7021,0.0000,318.0713,0.0000,813.7021,183.7957,0.0000,0.0000,1.0000
Distortion Coefficient,-0.7591,15.8615,-0.0147,-0.0029,-104.0297
Camera Matrix,713.5143,0.0000,340.8214,0.0000,713.5143,252.8350,0.0000,0.0000,1.0000
